run_id,run_date,mlr_dataset, feature_set,split,tuned,setup,best,pred_accuracy, metrics_dict,accuracy,roc_auc,recall,precision,f1,kappa,mcc
802a3772-19e1-448e-93df-710234cefd3d,00/01/1900 00:46,./datasets/mlr.csv,ALL,0.9,FALSE,802a3772-19e1-448e-93df-710234cefd3d: ./datasets/mlr.csv - ALL - 0.9 - TUNED=False,"ExtraTreesClassifier(bootstrap=False, ccp_alpha=0.0, class_weight=None,
                     criterion='gini', max_depth=None, max_features='sqrt',
                     max_leaf_nodes=None, max_samples=None,
                     min_impurity_decrease=0.0, min_samples_leaf=1,
                     min_samples_split=2, min_weight_fraction_leaf=0.0,
                     n_estimators=100, n_jobs=-1, oob_score=False,
                     random_state=8891, verbose=0, warm_start=False)",0.81,"{'accuracy': 0.7373, 'roc_auc': 0.7204, 'recall': 0.9024, 'precision': 0.7313, 'f1': 0.8036, 'kappa': 0.4109, 'mcc': 0.4571}",0.74,0.72,0.9,0.73,0.8,0.41,0.46
7b55d41d-cfa5-4945-8ce6-37a713c60d83,00/01/1900 00:48,./datasets/mlr.csv,ALL,0.92,TRUE,7b55d41d-cfa5-4945-8ce6-37a713c60d83: ./datasets/mlr.csv - ALL - 0.92 - TUNED=True,"XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
              colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, feature_types=None, gamma=0, gpu_id=-1,
              grow_policy='depthwise', importance_type=None,
              interaction_constraints='', learning_rate=0.300000012,
              max_bin=256, max_cat_threshold=64, max_cat_to_onehot=4,
              max_delta_step=0, max_depth=6, max_leaves=0, min_child_weight=1,
              missing=nan, monotone_constraints='()', n_estimators=100,
              n_jobs=-1, num_parallel_tree=1, objective='binary:logistic',
              predictor='auto', ...)",0.92,"{'accuracy': 0.6673, 'roc_auc': 0.6307, 'recall': 0.8167, 'precision': 0.6798, 'f1': 0.7324, 'kappa': 0.2955, 'mcc': 0.334}",0.67,0.63,0.82,0.68,0.73,0.3,0.33
c910730d-1de0-4705-b8b4-67905ca3973d,00/01/1900 00:51,./datasets/mlr.csv,ALL,0.91,FALSE,c910730d-1de0-4705-b8b4-67905ca3973d: ./datasets/mlr.csv - ALL - 0.91 - TUNED=False,"XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
              colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, feature_types=None, gamma=0, gpu_id=-1,
              grow_policy='depthwise', importance_type=None,
              interaction_constraints='', learning_rate=0.300000012,
              max_bin=256, max_cat_threshold=64, max_cat_to_onehot=4,
              max_delta_step=0, max_depth=6, max_leaves=0, min_child_weight=1,
              missing=nan, monotone_constraints='()', n_estimators=100,
              n_jobs=-1, num_parallel_tree=1, objective='binary:logistic',
              predictor='auto', ...)",0.8,"{'accuracy': 0.6555, 'roc_auc': 0.7117, 'recall': 0.7333, 'precision': 0.688, 'f1': 0.6997, 'kappa': 0.285, 'mcc': 0.2974}",0.66,0.71,0.73,0.69,0.7,0.29,0.3
7319190f-e2a6-4061-addf-dd14a672482c,00/01/1900 00:57,./datasets/mlr.csv,ALL,0.91,FALSE,7319190f-e2a6-4061-addf-dd14a672482c: ./datasets/mlr.csv - ALL - 0.91 - TUNED=False,"XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
              colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, feature_types=None, gamma=0, gpu_id=-1,
              grow_policy='depthwise', importance_type=None,
              interaction_constraints='', learning_rate=0.300000012,
              max_bin=256, max_cat_threshold=64, max_cat_to_onehot=4,
              max_delta_step=0, max_depth=6, max_leaves=0, min_child_weight=1,
              missing=nan, monotone_constraints='()', n_estimators=100,
              n_jobs=-1, num_parallel_tree=1, objective='binary:logistic',
              predictor='auto', ...)",0.8,"{'accuracy': 0.68, 'roc_auc': 0.722, 'recall': 0.6967, 'precision': 0.7498, 'f1': 0.7087, 'kappa': 0.356, 'mcc': 0.3788}",0.68,0.72,0.7,0.75,0.71,0.36,0.38
8b078219-8156-4822-ad3a-7ea24757a11e,00/01/1900 00:57,./datasets/mlr.csv,ALL,0.91,FALSE,8b078219-8156-4822-ad3a-7ea24757a11e: ./datasets/mlr.csv - ALL - 0.91 - TUNED=False,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=1000,
                   multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=2508, solver='lbfgs', tol=0.0001, verbose=0,
                   warm_start=False)",0.53,"{'accuracy': 0.6773, 'roc_auc': 0.6542, 'recall': 0.7976, 'precision': 0.7079, 'f1': 0.7405, 'kappa': 0.3054, 'mcc': 0.3269}",0.68,0.65,0.8,0.71,0.74,0.31,0.33
2601fd5e-9668-4a1e-bd75-d71fcbba3f37,10/01/2023 11:55,./datasets/mlr.csv,ALL,0.93,FALSE,2601fd5e-9668-4a1e-bd75-d71fcbba3f37: ./datasets/mlr.csv - ALL - 0.93 - TUNED=False,"RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='sqrt',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_samples_leaf=1,
                       min_samples_split=2, min_weight_fraction_leaf=0.0,
                       n_estimators=100, n_jobs=-1, oob_score=False,
                       random_state=6966, verbose=0, warm_start=False)",0.45,"{'accuracy': 0.6564, 'roc_auc': 0.6978, 'recall': 0.819, 'precision': 0.675, 'f1': 0.7332, 'kappa': 0.2603, 'mcc': 0.2991}",0.66,0.7,0.82,0.68,0.73,0.26,0.3
9b9c2019-b4bd-4a25-bf4c-b564f596405e,10/01/2023 12:05,./datasets/mlr.csv,ALL,0.93,FALSE,9b9c2019-b4bd-4a25-bf4c-b564f596405e: ./datasets/mlr.csv - ALL - 0.93 - TUNED=False,"GradientBoostingClassifier(ccp_alpha=0.0, criterion='friedman_mse', init=None,
                           learning_rate=0.1, loss='log_loss', max_depth=3,
                           max_features=None, max_leaf_nodes=None,
                           min_impurity_decrease=0.0, min_samples_leaf=1,
                           min_samples_split=2, min_weight_fraction_leaf=0.0,
                           n_estimators=100, n_iter_no_change=None,
                           random_state=3661, subsample=1.0, tol=0.0001,
                           validation_fraction=0.1, verbose=0,
                           warm_start=False)",0.36,"{'accuracy': 0.6409, 'roc_auc': 0.6043, 'recall': 0.8571, 'precision': 0.6594, 'f1': 0.7427, 'kappa': 0.1594, 'mcc': 0.1836}",0.64,0.6,0.86,0.66,0.74,0.16,0.18
bc0222db-c565-492b-ba78-ebe3b69fcdd9,10/01/2023 12:19,./datasets/mlr.csv,ALL,0.92,FALSE,bc0222db-c565-492b-ba78-ebe3b69fcdd9: ./datasets/mlr.csv - ALL - 0.92 - TUNED=False,"GradientBoostingClassifier(ccp_alpha=0.0, criterion='friedman_mse', init=None,
                           learning_rate=0.1, loss='log_loss', max_depth=3,
                           max_features=None, max_leaf_nodes=None,
                           min_impurity_decrease=0.0, min_samples_leaf=1,
                           min_samples_split=2, min_weight_fraction_leaf=0.0,
                           n_estimators=100, n_iter_no_change=None,
                           random_state=5579, subsample=1.0, tol=0.0001,
                           validation_fraction=0.1, verbose=0,
                           warm_start=False)",0.54,"{'accuracy': 0.75, 'roc_auc': 0.7495, 'recall': 0.8095, 'precision': 0.8014, 'f1': 0.7983, 'kappa': 0.4662, 'mcc': 0.4845}",0.75,0.75,0.81,0.8,0.8,0.47,0.48
083247bb-0f00-4e42-a09d-39efb5a7b1dc,10/01/2023 12:27,./datasets/mlr.csv,ALL,0.9,FALSE,083247bb-0f00-4e42-a09d-39efb5a7b1dc: ./datasets/mlr.csv - ALL - 0.9 - TUNED=False,"AdaBoostClassifier(algorithm='SAMME.R', base_estimator='deprecated',
                   estimator=None, learning_rate=1.0, n_estimators=50,
                   random_state=2179)",0.69,"{'accuracy': 0.6291, 'roc_auc': 0.6978, 'recall': 0.74, 'precision': 0.6764, 'f1': 0.6816, 'kappa': 0.2247, 'mcc': 0.2523}",0.63,0.7,0.74,0.68,0.68,0.22,0.25
324c1390-362c-40bf-975d-db3812c5d2d6,10/01/2023 12:32,./datasets/mlr.csv,ALL,0.9,FALSE,324c1390-362c-40bf-975d-db3812c5d2d6: ./datasets/mlr.csv - ALL - 0.9 - TUNED=False,"RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='sqrt',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_samples_leaf=1,
                       min_samples_split=2, min_weight_fraction_leaf=0.0,
                       n_estimators=100, n_jobs=-1, oob_score=False,
                       random_state=8612, verbose=0, warm_start=False)",0.5,"{'accuracy': 0.61, 'roc_auc': 0.6312, 'recall': 0.7667, 'precision': 0.6475, 'f1': 0.697, 'kappa': 0.1579, 'mcc': 0.1693}",0.61,0.63,0.77,0.65,0.7,0.16,0.17
4f4e3ab9-1397-4d24-94cb-5af7ae75a365,10/01/2023 12:38,./datasets/mlr.csv,ALL,0.9,FALSE,4f4e3ab9-1397-4d24-94cb-5af7ae75a365: ./datasets/mlr.csv - ALL - 0.9 - TUNED=False,"AdaBoostClassifier(algorithm='SAMME.R', base_estimator='deprecated',
                   estimator=None, learning_rate=1.0, n_estimators=50,
                   random_state=617)",0.44,"{'accuracy': 0.6982, 'roc_auc': 0.7131, 'recall': 0.7952, 'precision': 0.7386, 'f1': 0.7601, 'kappa': 0.3525, 'mcc': 0.366}",0.7,0.71,0.8,0.74,0.76,0.35,0.37
e6674bf6-93b9-48ab-bd7f-b579ff5006ec,10/01/2023 12:44,./datasets/mlr.csv,ALL,0.91,FALSE,e6674bf6-93b9-48ab-bd7f-b579ff5006ec: ./datasets/mlr.csv - ALL - 0.91 - TUNED=False,"XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
              colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, feature_types=None, gamma=0, gpu_id=-1,
              grow_policy='depthwise', importance_type=None,
              interaction_constraints='', learning_rate=0.300000012,
              max_bin=256, max_cat_threshold=64, max_cat_to_onehot=4,
              max_delta_step=0, max_depth=6, max_leaves=0, min_child_weight=1,
              missing=nan, monotone_constraints='()', n_estimators=100,
              n_jobs=-1, num_parallel_tree=1, objective='binary:logistic',
              predictor='auto', ...)",0.8,"{'accuracy': 0.6364, 'roc_auc': 0.5808, 'recall': 0.7476, 'precision': 0.7097, 'f1': 0.7055, 'kappa': 0.2064, 'mcc': 0.2211}",0.64,0.58,0.75,0.71,0.71,0.21,0.22
2ebaa450-c000-453d-b469-77fc10599dd4,10/01/2023 12:50,./datasets/mlr.csv,ALL,0.95,FALSE,2ebaa450-c000-453d-b469-77fc10599dd4: ./datasets/mlr.csv - ALL - 0.95 - TUNED=False,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=1000,
                   multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=1459, solver='lbfgs', tol=0.0001, verbose=0,
                   warm_start=False)",0.75,"{'accuracy': 0.6873, 'roc_auc': 0.742, 'recall': 0.7762, 'precision': 0.7217, 'f1': 0.7394, 'kappa': 0.3409, 'mcc': 0.3607}",0.69,0.74,0.78,0.72,0.74,0.34,0.36
3fda61af-9ba8-47c5-8ae9-16fa7d71dad5,10/01/2023 12:55,./datasets/mlr.csv,ALL,0.95,FALSE,3fda61af-9ba8-47c5-8ae9-16fa7d71dad5: ./datasets/mlr.csv - ALL - 0.95 - TUNED=False,"ExtraTreesClassifier(bootstrap=False, ccp_alpha=0.0, class_weight=None,
                     criterion='gini', max_depth=None, max_features='sqrt',
                     max_leaf_nodes=None, max_samples=None,
                     min_impurity_decrease=0.0, min_samples_leaf=1,
                     min_samples_split=2, min_weight_fraction_leaf=0.0,
                     n_estimators=100, n_jobs=-1, oob_score=False,
                     random_state=4811, verbose=0, warm_start=False)",0.5,"{'accuracy': 0.66, 'roc_auc': 0.6131, 'recall': 0.8405, 'precision': 0.6675, 'f1': 0.7403, 'kappa': 0.2672, 'mcc': 0.2883}",0.66,0.61,0.84,0.67,0.74,0.27,0.29
a41323bb-fd0c-471c-a192-a840b742340a,10/01/2023 15:28,./datasets/mlr.csv,ALL,0.9,FALSE,a41323bb-fd0c-471c-a192-a840b742340a: ./datasets/mlr.csv - ALL - 0.9 - TUNED=False,"AdaBoostClassifier(algorithm='SAMME.R', base_estimator='deprecated',
                   estimator=None, learning_rate=1.0, n_estimators=50,
                   random_state=8143)",0.56,"{'accuracy': 0.7282, 'roc_auc': 0.747, 'recall': 0.8048, 'precision': 0.7812, 'f1': 0.7743, 'kappa': 0.4163, 'mcc': 0.4557}",0.73,0.75,0.8,0.78,0.77,0.42,0.46
9831b6be-686f-42fc-9ca5-658fa95db832,10/01/2023 15:33,./datasets/mlr.csv,ALL,0.9,FALSE,9831b6be-686f-42fc-9ca5-658fa95db832: ./datasets/mlr.csv - ALL - 0.9 - TUNED=False,"RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='sqrt',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_samples_leaf=1,
                       min_samples_split=2, min_weight_fraction_leaf=0.0,
                       n_estimators=100, n_jobs=-1, oob_score=False,
                       random_state=6788, verbose=0, warm_start=False)",0.69,"{'accuracy': 0.6427, 'roc_auc': 0.5892, 'recall': 0.8548, 'precision': 0.6552, 'f1': 0.7387, 'kappa': 0.1906, 'mcc': 0.2185}",0.64,0.59,0.85,0.66,0.74,0.19,0.22
4750fbec-cc41-4ce6-ab05-1ba597a866ff,10/01/2023 15:39,./datasets/mlr.csv,ALL,0.94,FALSE,4750fbec-cc41-4ce6-ab05-1ba597a866ff: ./datasets/mlr.csv - ALL - 0.94 - TUNED=False,"AdaBoostClassifier(algorithm='SAMME.R', base_estimator='deprecated',
                   estimator=None, learning_rate=1.0, n_estimators=50,
                   random_state=3291)",0.6,"{'accuracy': 0.6755, 'roc_auc': 0.766, 'recall': 0.7524, 'precision': 0.7113, 'f1': 0.7178, 'kappa': 0.337, 'mcc': 0.3492}",0.68,0.77,0.75,0.71,0.72,0.34,0.35
115e7620-76e1-4738-b657-4d31c16c3513,10/01/2023 15:53,./datasets/mlr.csv,ALL,0.93,TRUE,115e7620-76e1-4738-b657-4d31c16c3513: ./datasets/mlr.csv - ALL - 0.93 - TUNED=True,"RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='sqrt',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_samples_leaf=1,
                       min_samples_split=2, min_weight_fraction_leaf=0.0,
                       n_estimators=100, n_jobs=-1, oob_score=False,
                       random_state=4634, verbose=0, warm_start=False)",0.64,"{'accuracy': 0.6427, 'roc_auc': 0.6137, 'recall': 0.8548, 'precision': 0.6625, 'f1': 0.7398, 'kappa': 0.2098, 'mcc': 0.1974}",0.64,0.61,0.85,0.66,0.74,0.21,0.2
1ddc5681-091a-4605-8d3f-edb5f655c783,10/01/2023 15:59,./datasets/mlr.csv,ALL,0.94,FALSE,1ddc5681-091a-4605-8d3f-edb5f655c783: ./datasets/mlr.csv - ALL - 0.94 - TUNED=False,"XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
              colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, feature_types=None, gamma=0, gpu_id=-1,
              grow_policy='depthwise', importance_type=None,
              interaction_constraints='', learning_rate=0.300000012,
              max_bin=256, max_cat_threshold=64, max_cat_to_onehot=4,
              max_delta_step=0, max_depth=6, max_leaves=0, min_child_weight=1,
              missing=nan, monotone_constraints='()', n_estimators=100,
              n_jobs=-1, num_parallel_tree=1, objective='binary:logistic',
              predictor='auto', ...)",0.8,"{'accuracy': 0.6327, 'roc_auc': 0.628, 'recall': 0.7929, 'precision': 0.6645, 'f1': 0.714, 'kappa': 0.2013, 'mcc': 0.2174}",0.63,0.63,0.79,0.66,0.71,0.2,0.22
a9bb3477-0430-4617-bf6f-98628f95372f,10/01/2023 16:13,./datasets/mlr.csv,ALL,0.94,TRUE,a9bb3477-0430-4617-bf6f-98628f95372f: ./datasets/mlr.csv - ALL - 0.94 - TUNED=True,"XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
              colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, feature_types=None, gamma=0, gpu_id=-1,
              grow_policy='depthwise', importance_type=None,
              interaction_constraints='', learning_rate=0.300000012,
              max_bin=256, max_cat_threshold=64, max_cat_to_onehot=4,
              max_delta_step=0, max_depth=6, max_leaves=0, min_child_weight=1,
              missing=nan, monotone_constraints='()', n_estimators=100,
              n_jobs=-1, num_parallel_tree=1, objective='binary:logistic',
              predictor='auto', ...)",0.6,"{'accuracy': 0.7273, 'roc_auc': 0.715, 'recall': 0.8095, 'precision': 0.7754, 'f1': 0.7843, 'kappa': 0.3949, 'mcc': 0.3966}",0.73,0.72,0.81,0.78,0.78,0.39,0.4
90458932-4a76-4321-a7be-7d39827fd3bb,10/01/2023 16:19,./datasets/mlr.csv,ALL,0.95,FALSE,90458932-4a76-4321-a7be-7d39827fd3bb: ./datasets/mlr.csv - ALL - 0.95 - TUNED=False,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=1000,
                   multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=3015, solver='lbfgs', tol=0.0001, verbose=0,
                   warm_start=False)",0.25,"{'accuracy': 0.7336, 'roc_auc': 0.7138, 'recall': 0.8476, 'precision': 0.7492, 'f1': 0.7896, 'kappa': 0.4168, 'mcc': 0.4395}",0.73,0.71,0.85,0.75,0.79,0.42,0.44
